	Total cores	Big	Little	TB1	TB2	TB3	TB4	TB5	TB6	TB7	GTS1	GTS2	GTS3	GTS4	GTS5	GTS6	GTS7	ST1	ST2	ST3	ST4	ST5	ST6	ST7
		2	2	544	539	540	540	539	541	542	612	612	613	611	613	612	614	956	957	957	958	958	958	957
		4	0	430	430	430	431	429	430	429	323	326	323	323	322	323	324	321	322	321	322	321	322	322
	8	4	4	339	338	340	336	341	341	339	335	338	335	334	334	333	334	535	533	534	536	534	532	535
																								
STREAMCLUSTER	4	0	4	940.49798	940.801569	940.324769	941.453658	941.0544	941.756709	940.670143	1016.081308	1013.735613	1013.896993	1015.598135	1015.471254	1014.411248	1014.141833	906.539352	907.148141	906.938486	906.573332	905.374027	907.752333	907.873161
		2	2	496.574453	498.389508	497.023634	497.410063	493.61228	496.661043	493.607506	660.255516	659.334196	659.043735	659.645169	659.226138	659.921321	660.862193	890.320198	889.843646	890.349387	890.678567	889.514412	890.022732	890.496424
		4	0	412.298265	420.515255	419.420141	419.294238	419.253824	419.477708	419.257385	445.823572	455.520683	456.155449	457.245017	456.369524	456.384182	480.230699	359.686111	394.300628	400.716797	402.938674	407.126335	403.210234	403.074373
	5	4	1	448.648053	448.039016	449.226577	448.631542	448.288894	448.3868	447.997411	452.008407	451.771042	452.564768	451.626297	450.726556	450.080791	450.190259	723.228753	723.96949	723.276457	723.076184	723.429875	723.438339	723.356678
	6	4	2	422.595459	421.149347	423.426476	422.022463	421.927076	421.989824	423.281907	440.603327	436.889466	436.604554	437.056173	437.179763	437.535157	436.877005	615.082428	615.097403	614.842699	614.832783	614.743128	615.303323	614.879196
	7	4	3	408.612544	406.977146	407.375769	409.335061	407.203183	406.94895	407.921193	431.779459	436.601833	433.574186	434.008483	433.601631	433.365759	434.188021	532.705626	532.860186	532.785221	532.62122	533.640965	532.90191	532.518488
	8	4	4	379.792926	379.240613	377.566625	379.102571	380.474145	379.853878	377.353783	430.538516	429.946374	429.975197	434.258616	430.257979	429.939502	429.192092	475.207786	474.390866	474.78014	474.543614	477.331969	474.814239	474.288277
																								
SWAPTIONS	4	0	4	895	897	896	895	895	895	896	895	896	894	895	893	895	893	894	894	894	894	893	894	895
		2	2	476	476	476	476	477	476	476	599	671	603	555	579	634	584	890	890	890	890	890	890	890
		4	0	323	323	323	323	323	324	324	324	325	325	334	324	337	325	323	324	323	323	323	323	323
	5	4	1	306	305	306	306	305	306	305	413	422	414	431	413	414	413	724	724	725	724	724	725	724
	6	4	2	280	281	280	280	280	280	280	365	348	348	348	357	356	365	612	611	612	611	611	612	611
	7	4	3	279	279	279	279	279	279	280	309	305	304	309	309	304	305	528	529	528	529	528	529	529
	8	4	4	252	253	252	253	256	252	253	266	266	267	273	274	273	274	448	447	448	447	446	447	447
																								
